2018-10-19 14:18:15,900 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: plg-shiro:springmvc-mybatis-shiro:0.0.1-SNAPSHOT @ C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\pom.xml.
2018-10-19 14:18:25,851 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /springmvc-mybatis-shiro/src/main/java
2018-10-19 14:18:25,852 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /springmvc-mybatis-shiro/src/main/resources
2018-10-19 14:18:25,854 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /springmvc-mybatis-shiro/src/test/java
2018-10-19 14:18:30,647 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 17 sec
2018-10-19 14:18:35,080 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:18:35,086 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-10-19 14:18:35,185 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:18:35,187 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\src\test\resources
2018-10-19 14:19:55,694 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:19:55,719 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-10-19 14:19:55,731 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:19:55,733 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\src\test\resources
2018-10-19 14:20:35,721 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:20:35,733 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-10-19 14:20:35,745 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:20:35,747 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\src\test\resources
2018-10-19 14:20:46,992 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:20:47,002 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-10-19 14:20:47,010 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:20:47,013 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\src\test\resources
2018-10-19 14:24:30,180 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:24:30,193 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-10-19 14:24:30,206 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 14:24:30,208 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\src\test\resources
2018-10-19 14:24:30,209 [Worker-2] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of springmvc-mybatis-shiro
2018-10-19 14:24:30,211 [Worker-2] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for springmvc-mybatis-shiro
2018-10-19 14:24:30,318 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 17:00:36,312 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: plg-shiro:springmvc-mybatis-shiro:0.0.1-SNAPSHOT @ C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\pom.xml.
2018-10-19 17:00:37,498 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: plg-shiro:springmvc-mybatis-shiro:0.0.1-SNAPSHOT @ C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\pom.xml.
2018-10-19 17:00:44,826 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 17:00:44,837 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-10-19 17:00:44,924 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-19 17:00:44,925 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\src\test\resources
2018-10-19 17:00:47,350 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: plg-shiro:springmvc-mybatis-shiro:0.0.1-SNAPSHOT @ C:\aliucq\gitSpace\resource\workSpace\springmvc-mybatis-shiro\pom.xml.
2018-10-19 17:01:10,350 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
